,Gemeindecode,Gemeindename,Einwohner,Veränderung in %,Bevölkerungs-dichte pro km²,Ausländer in %,0-19 Jahre,20-64 Jahre,65 Jahre und mehr,Rohe Heiratssziffer,Rohe Scheidungsziffer,Rohe Geburtenziffer,Rohe Sterbeziffer,Anzahl Privathaushalte,Durchschnittliche Haushaltsgrösse in Personen,Gesamtfläche in km²,Siedlungsfläche in %,Veränderung in ha,Landwirtschafts-fläche in %,Veränderung in ha.1,Wald und Gehölze in %,Unproduktive Fläche in %,Beschäftigte total,im 1. Sektor,im 2. Sektor,im 3. Sektor,Arbeitsstätten total,im 1. Sektor.1,im 2. Sektor.1,im 3. Sektor.1,Leerwohnungs-ziffer,Neu gebaute Wohnungen pro 1000 Einwohner,Sozialhilfequote,FDP 2),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien
2,,Schweiz,8419550.0,7,210.5,25.0,20.1,61.8,18.1,5.0,2.0,10.5,7.8,3682475.0,2.24,41285,7.5,58422,35.9,-85071,31.3,25.3,5078915,164752,1086130,3828033,675506,55843,96294,523369,1.45,6.4,3.3,16.3967242019,11.6459372458,18.8409523593,29.3859546718,2.1036022148,4.625862433,4.1037505305,0.8555973601,7.0570598846,2.6342632417
3,1.0,Aeugst am Albis,1977.0,8.3881578947,249.9367888748,13.10065756,20.5867476,62.82245827,16.59079413,2.5265285498,3.0318342597,7.0742799394,9.0955027792,815.0,2.42,7.87,12.5794155019,21,51.334180432,-22,30.876747141,5.209656925,427,36,14,377,141,15,13,113,2.581369248,0.0,0.8076728925,18.6916599992,2.0764277822,18.6459404884,30.929249057,3.4670629024,8.4352497428,2.6174419934,0.1676382063,7.0750942965,4.8881776965
4,2.0,Affoltern am Albis,11900.0,7.2942025065,1123.701605288,27.8487395,20.28571429,62.20168067,17.51260504,5.1677397492,1.4401897662,11.8603863097,7.370382921,5053.0,2.29,10.6,30.7547169811,94,40.0943396226,-93,28.2075471698,0.9433962264,6351,52,1198,5101,951,24,130,797,1.2290701817,7.0891697984,3.442090878,14.2266235642,4.5853867581,19.0803141391,33.7857854874,5.4648270465,7.3578595318,4.1642988234,0.1900485369,6.211047037,1.7681966816
5,3.0,Bonstetten,5435.0,5.3498740066,731.4939434724,14.14903404,23.80864765,60.7175713,15.47378105,5.3898336586,1.8585633305,10.7796673172,3.7171266611,2260.0,2.4,7.45,15.5704697987,24,55.4362416107,-21,28.5906040268,0.4026845638,991,33,124,834,269,13,28,228,1.7710049423,1.8775816748,0.8636875704,16.4726356217,3.3785405665,20.4032645223,29.100156025,3.1430028805,11.8623979837,3.8031084974,0.1125180029,6.6610657705,1.915806529
6,4.0,Hausen am Albis,3571.0,6.2797619048,262.5735294118,14.53374405,22.73872865,60.40324839,16.85802296,4.5402951192,1.9863791146,7.6617480136,8.5130533485,1466.0,2.42,13.68,12.6461988304,33,55.7748538012,-31,29.0204678363,2.5584795322,1086,109,150,827,259,40,35,184,0.8583690987,3.4512510785,1.0353753236,12.7936522088,2.8819150359,19.3933045068,34.9373690545,2.5698747381000002,8.7482726341,4.6560870147,0.1939107565,8.0216645121,1.825435742
7,5.0,Hedingen,3687.0,8.1231671554,564.6248085758,14.97152156,22.48440467,62.11011663,15.40547871,7.6221587042,1.3610997686,7.3499387505,4.6277392133,1507.0,2.44,6.53,19.9081163859,44,46.248085758,-43,33.2312404288,0.6125574273,1534,30,732,772,199,12,25,162,1.4366021237,3.0054644809,1.7213114754,15.8058268098,3.9181664111,22.4780082318,30.1145993059,3.5892986845,9.6259381809,3.7688644984,0.2279880558,6.4663868937,1.8400451941
8,6.0,Kappel am Albis,1110.0,20.9150326797,140.1515151515,18.01801802,26.48648649,60.18018018,13.33333333,2.7998133458,1.8665422305,18.6654223052,3.733084461,441.0,2.5,7.83,8.3014048531,12,69.9872286079,-12,20.5619412516,1.1494252874,333,58,76,199,100,22,21,57,2.6209677419,0.968054211,0.8712487899,10.9525418004,2.7444688397,10.2854247593,48.6150988009,6.6036142543,5.6240499916,5.1342678602,0.3124472218,4.382705624,2.7698023982
9,7.0,Knonau,2168.0,20.4444444444,335.085007728,17.15867159,24.07749077,60.88560886,15.03690037,3.7514654162,0.937866354,15.0058616647,7.9718640094,859.0,2.51,6.51,17.9723502304,19,62.2119815668,-21,17.2043010753,2.6113671275,533,60,139,334,127,24,16,87,1.509054326,3.3381020505,0.7629947544,11.456580276,3.1260518344,18.436553349,32.8761359812,6.1679569169,10.4215752272,5.9449680242,0.0084146752,5.8019185459,3.4373948166
10,8.0,Maschwanden,626.0,1.6233766234,133.4754797441,12.14057508,23.1629393,59.74440895,17.09265176,3.1570639305,3.1570639305,15.7853196527,6.3141278611,257.0,2.42,4.68,8.9743589744,-5,59.615384615400004,0,23.7179487179,7.6923076923,147,50,34,63,61,20,7,34,4.3333333333,0.0,X,4.8901371221,3.5023955064,22.7325293243,43.383446225,3.7336857756,4.857095655,3.4528333058,0.6443086073,5.1709895919,2.1146538906
11,9.0,Mettmenstetten,4861.0,14.565166156,373.0621642364,14.87348282,22.34108208,60.85167661,16.80724131,5.4564533054,2.7282266527,10.4931794334,5.036726128,1946.0,2.45,13.05,15.938697318,65,64.214559387,-70,18.6206896552,1.2260536398,1713,152,566,995,315,46,54,215,1.5413358244,14.5641464982,1.3493253373,13.1847174589,3.6491554216,18.8002820603,35.6710150966,3.4680598737,9.6205006571,4.3527036123,0.1330170839,5.0594570339,3.5690246482
12,10.0,Obfelden,5131.0,9.4963721724,680.5039787798,20.0155915,23.05593452,60.20268953,16.74137595,5.5226824458,1.775147929,12.0315581854,6.1143984221,2087.0,2.43,7.55,24.238410596,44,49.2715231788,-44,21.3245033113,5.1655629139,1189,59,299,831,313,20,69,224,3.7313432836,5.5899381114,2.8748253144,14.4130318215,6.488175582,16.922138195,36.1740288076,4.7926335447,7.3886433815,4.3581162288,0.0869034632,3.7054157499,2.9824528965
13,11.0,Ottenbach,2591.0,7.510373444,516.1354581673,12.27325357,20.33963721,60.43998456,19.22037823,5.0387596899,2.3255813953,9.6899224806,6.976744186,1103.0,2.33,4.98,20.8835341365,20,55.2208835341,-19,19.8795180723,4.016064257,654,36,195,423,160,14,30,116,2.1978021978,8.9528999611,0.8174386921,16.8383429022,4.1343014747,18.608578183,34.889676911,2.0995159293,8.2179443882,4.9082517168,0.1660475065,4.8153776877,2.1558032196
14,12.0,Rifferswil,1078.0,19.7777777778,165.5913978495,8.905380334,27.82931354,56.67903525,15.49165121,0.9367681499,0.0,2.8103044496,7.4941451991,421.0,2.55,6.57,10.3500761035,10,64.8401826484,-10,22.6788432268,2.1308980213,236,52,72,112,86,18,17,51,2.7139874739,15.1371807001,X,9.3218119927,1.7216548835,21.1311861744,30.5184603299,7.3972244043,9.0206860435,3.5676878764,0.2487562189,10.7685257921,3.1094527363
15,13.0,Stallikon,3646.0,15.3432458083,303.3277870216,20.89961602,20.70762479,63.21996709,16.07240812,4.5064075482,2.8165047176,8.1678636812,4.5064075482,1521.0,2.39,12.01,11.0741049126,45,38.051623647,-41,49.7918401332,1.0824313072,764,33,137,594,171,14,21,136,0.7155635063,7.5253256151,0.984081042,18.8134955475,3.4616831807,17.6194656967,40.4615577574,1.683180735,6.6374012291,4.0662235043,0.2357958109,3.9934779882,0.5518625361
16,14.0,Wettswil am Albis,5123.0,13.3908809208,1358.8859416446,16.00624634,22.66250244,57.44680851,19.89068905,5.5760231007,1.3940057752,12.9443393408,6.3725978293,2123.0,2.4,3.77,40.848806366,54,33.9522546419,-52,20.9549071618,4.2440318302,1213,25,448,740,290,10,40,240,0.4476275739,8.7398373984,1.0365853659,24.8477332664,4.5036418435,14.3868516891,32.0890367952,2.2369082004,9.2333291473,4.0813763657,0.0737787266,4.6072460128,1.3295868391
