,Unnamed: 0,Unnamed: 1,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner,Single,Married,Widowed,Divorced,Unmarried,In a registered partnership,Partnership dissolved,Urban core,Area influenced,Area beyond
0,,,,,,,,,,,,,,,,,area,by urban cores,urban core
1,,,,,,,,,,,,,,,,,,,influence
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,Total,7954662.0,1642543.0,4946967.0,1365152.0,3922253.0,4032409.0,6138668.0,1815994.0,3432503.0,3485079.0,408797.0,617370.0,484,9944.0,485,4990093,1721840,1242729
5,,,,,,,,,,,,,,,,,,,
6,Lake Geneva region,1503500.0,329867.0,929345.0,244288.0,733280.0,770220.0,1025817.0,477683.0,662759.0,642971.0,72845.0,122495.0,128,2214.0,88,1037473,311820,154207
7,Vaud,725944.0,164144.0,446880.0,114920.0,354368.0,371576.0,496720.0,229224.0,321344.0,309657.0,34971.0,58802.0,39,1091.0,40,455576,196757,73611
8,Valais,317022.0,66149.0,195608.0,55265.0,156733.0,160289.0,249788.0,67234.0,133155.0,143792.0,17662.0,22173.0,31,200.0,9,161958,74468,80596
9,Geneva,460534.0,99574.0,286857.0,74103.0,222179.0,238355.0,279309.0,181225.0,208260.0,189522.0,20212.0,41520.0,58,923.0,39,419939,40595,-
10,,,,,,,,,,,,,,,,,,,
11,Espace Mittelland,1770429.0,365815.0,1085006.0,319608.0,868522.0,901907.0,1481181.0,289248.0,750122.0,781191.0,100152.0,137072.0,97,1711.0,84,884888,470277,415264
12,Bern,985046.0,192630.0,603836.0,188580.0,480824.0,504222.0,850232.0,134814.0,415930.0,434707.0,57640.0,75622.0,51,1044.0,52,511320,218769,254957
13,Fribourg,284668.0,67587.0,176660.0,40421.0,141710.0,142958.0,230339.0,54329.0,126575.0,124733.0,13227.0,19855.0,21,245.0,12,92541,118672,73455
14,Solothurn,256990.0,51247.0,159460.0,46283.0,127111.0,129879.0,206325.0,50665.0,105158.0,116472.0,14600.0,20522.0,12,218.0,8,154985,66672,35333
15,Neuchâtel,173183.0,38292.0,103634.0,31257.0,84160.0,89023.0,132685.0,40498.0,72831.0,73892.0,10201.0,16084.0,9,158.0,8,102355,52786,18042
16,Jura,70542.0,16059.0,41416.0,13067.0,34717.0,35825.0,61600.0,8942.0,29628.0,31387.0,4484.0,4989.0,4,46.0,4,23687,13378,33477
17,,,,,,,,,,,,,,,,,,,
18,Northwest Switzerland,1079913.0,214404.0,673785.0,191724.0,532811.0,547102.0,826427.0,253486.0,451381.0,486941.0,56372.0,83851.0,58,1240.0,70,711513,268551,99849
19,Basel-Stadt,186255.0,30823.0,116822.0,38610.0,89255.0,97000.0,124589.0,61666.0,83638.0,72465.0,11803.0,17883.0,23,413.0,30,186255,-,-
20,Basel-Landschaft,275360.0,54064.0,166320.0,54976.0,134661.0,140699.0,221306.0,54054.0,108602.0,129811.0,15409.0,21165.0,10,344.0,19,187300,81111,6949
21,Aargau,618298.0,129517.0,390643.0,98138.0,308895.0,309403.0,480532.0,137766.0,259141.0,284665.0,29160.0,44803.0,25,483.0,21,337958,187440,92900
22,,,,,,,,,,,,,,,,,,,
23,Zurich,1392396.0,273429.0,889659.0,229308.0,689044.0,703352.0,1050188.0,342208.0,618188.0,589863.0,63675.0,117216.0,80,3216.0,158,1071152,311683,9561
24,,,,,,,,,,,,,,,,,,,
25,Eastern Switzerland,1113929.0,234649.0,690724.0,188556.0,555345.0,558584.0,882555.0,231374.0,475505.0,496656.0,58589.0,82307.0,48,780.0,44,606113,186740,321076
26,Glarus,39217.0,7919.0,24277.0,7021.0,19813.0,19404.0,30842.0,8375.0,16273.0,17755.0,2429.0,2736.0,1,21.0,2,29279,-,9938
27,Schaffhausen,77139.0,14919.0,47077.0,15143.0,37885.0,39254.0,58950.0,18189.0,30912.0,35289.0,4672.0,6175.0,2,87.0,2,45404,23921,7814
28,Appenzell A. Rh.,53313.0,11345.0,32417.0,9551.0,26792.0,26521.0,45608.0,7705.0,22566.0,23672.0,2967.0,4070.0,1,34.0,3,15174,25632,12507
29,Appenzell I. Rh.,15743.0,3749.0,9314.0,2680.0,8067.0,7676.0,14153.0,1590.0,7364.0,6768.0,860.0,745.0,-,4.0,2,-,-,15743
30,St. Gallen,483156.0,104928.0,299059.0,79169.0,240277.0,242879.0,376226.0,106930.0,208816.0,214056.0,24507.0,35437.0,15,314.0,11,336076,62558,84522
31,Graubünden,193388.0,37129.0,120747.0,35512.0,96142.0,97246.0,160504.0,32884.0,82555.0,86394.0,10897.0,13399.0,21,112.0,10,62944,22255,108189
32,Thurgau,251973.0,54660.0,157833.0,39480.0,126369.0,125604.0,196272.0,55701.0,107019.0,112722.0,12257.0,19745.0,8,208.0,14,117236,52374,82363
33,,,,,,,,,,,,,,,,,,,
