,Region,Population,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner,Single,Married,Widowed,Divorced,Unmarried,In a registered partnership,Partnership dissolved,Urban core area,influenced by urban cores,influenced beyond urban cores
0,,,,,,,,,,,,,,,,,area,by urban cores,urban core
1,,,,,,,,,,,,,,,,,,,influence
4,Total,8237666.0,1663752.0,5108349.0,1465565.0,4073880.0,4163786.0,6239207.0,1998459.0,3593986.0,3551926.0,407583.0,669047.0,549,13282.0,1132,5168376,1790738,1278552
6,Lake Geneva region,1570594.0,336857.0,970056.0,263681.0,768192.0,802402.0,1047506.0,523088.0,703912.0,656094.0,73255.0,134004.0,148,2875.0,259,1079078,329896,161620
7,Vaud,761446.0,168899.0,468935.0,123612.0,373187.0,388259.0,509124.0,252322.0,344572.0,316709.0,34765.0,63790.0,50,1408.0,126,473240,209112,79094
8,Valais,331763.0,67069.0,203445.0,61249.0,164399.0,167364.0,256485.0,75278.0,140038.0,148109.0,18051.0,25211.0,37,281.0,22,170951,78286,82526
9,Geneva,477385.0,100889.0,297676.0,78820.0,230606.0,246779.0,281897.0,195488.0,219302.0,191276.0,20439.0,45003.0,61,1186.0,111,434887,42498,-
11,Espace Mittelland,1826251.0,368125.0,1115781.0,342345.0,898913.0,927338.0,1499972.0,326279.0,784062.0,790017.0,99053.0,150470.0,117,2287.0,212,914434,485544,426273
12,Bern,1009418.0,193024.0,615175.0,201219.0,494008.0,515410.0,857915.0,151503.0,431220.0,437492.0,56698.0,82380.0,56,1408.0,143,527253,223515,258650
13,Fribourg,303377.0,69985.0,188624.0,44768.0,151587.0,151790.0,238449.0,64928.0,136627.0,130250.0,13394.0,22706.0,29,331.0,32,99070,125468,78839
14,Solothurn,263719.0,50998.0,163222.0,49499.0,131036.0,132683.0,208749.0,54970.0,108942.0,117721.0,14420.0,22280.0,17,317.0,20,158965,68210,36544
15,Neuchâtel,177327.0,38257.0,106437.0,32633.0,86540.0,90787.0,132575.0,44752.0,76527.0,73138.0,9985.0,17490.0,10,166.0,11,104447,54655,18225
16,Jura,72410.0,15861.0,42323.0,14226.0,35742.0,36668.0,62284.0,10126.0,30746.0,31416.0,4556.0,5614.0,5,65.0,6,24699,13696,34015
18,Northwest Switzerland,1117158.0,217881.0,694046.0,205231.0,552700.0,564458.0,836996.0,280162.0,471936.0,496388.0,56562.0,90231.0,63,1821.0,132,734091,279942,103125
19,Basel-Stadt,190580.0,31708.0,120006.0,38866.0,91760.0,98820.0,124274.0,66306.0,88082.0,72227.0,11220.0,18400.0,26,564.0,55,190580,-,-
20,Basel-Landschaft,281301.0,54274.0,168014.0,59013.0,137719.0,143582.0,221378.0,59923.0,111940.0,130680.0,15530.0,22590.0,8,516.0,30,191248,82977,7076
21,Aargau,645277.0,131899.0,406026.0,107352.0,323221.0,322056.0,491344.0,153933.0,271914.0,293481.0,29812.0,49241.0,29,741.0,47,352263,196965,96049
23,Zurich,1446354.0,283522.0,919491.0,243341.0,717702.0,728652.0,1073065.0,373289.0,653715.0,601366.0,63180.0,123533.0,87,4065.0,376,1113403,323184,9767
25,Eastern Switzerland,1144572.0,231934.0,709088.0,203550.0,572509.0,572063.0,892118.0,252454.0,487638.0,508237.0,58193.0,89296.0,50,1080.0,69,623502,193011,328059
26,Glarus,39794.0,7739.0,24572.0,7483.0,20136.0,19658.0,30798.0,8996.0,16483.0,17954.0,2346.0,2969.0,3,37.0,2,30033,-,9761
27,Schaffhausen,79417.0,15049.0,48304.0,16064.0,39111.0,40306.0,59542.0,19875.0,32161.0,35823.0,4629.0,6684.0,1,115.0,3,46258,25113,8046
28,Appenzell A. Rh.,54064.0,11061.0,32947.0,10056.0,27271.0,26793.0,45763.0,8301.0,22884.0,23857.0,2892.0,4364.0,2,63.0,2,15512,25925,12627
29,Appenzell I. Rh.,15854.0,3560.0,9429.0,2865.0,8121.0,7733.0,14169.0,1685.0,7314.0,6888.0,832.0,811.0,1,6.0,2,-,-,15854
30,St. Gallen,495824.0,103606.0,306925.0,85293.0,247516.0,248308.0,380500.0,115324.0,213956.0,218680.0,24388.0,38323.0,19,427.0,27,345076,64295,86453
31,Graubünden,195886.0,36216.0,121197.0,38473.0,97752.0,98134.0,160497.0,35389.0,83175.0,87244.0,10767.0,14518.0,14,157.0,8,63964,23158,108764
32,Thurgau,263733.0,54703.0,165714.0,43316.0,132602.0,131131.0,200849.0,62884.0,111665.0,117791.0,12339.0,21627.0,10,275.0,25,122659,54520,86554
34,Central Switzerland,782374.0,160543.0,489963.0,131868.0,393323.0,389051.0,635917.0,146457.0,348096.0,344454.0,35929.0,52947.0,50,838.0,47,459312,101447,221615
