,Unnamed: 0,Unnamed: 1,1-person households,2-person households,3-person households,4-person households,5-person households,6-person or larger households,Unnamed: 8
0,Switzerland,7876178,1220931,2272036,1391706,1799540,778155,413810,1
1,0001 Aeugst am Albis,1949,219,544,372,484,235,95,1
2,0002 Affoltern am Albis,11022,1536,3218,1758,2508,1200,802,1
3,0003 Bonstetten,5189,593,1542,915,1572,455,112,<1
4,0004 Hausen am Albis,3336,366,964,597,928,350,131,<1
5,0005 Hedingen,3498,356,1004,621,1008,365,144,<1
6,0006 Kappel am Albis,915,115,242,135,208,155,60,1
7,0007 Knonau,1968,199,566,369,536,210,88,<1
8,0008 Maschwanden,638,88,160,87,176,80,47,<1
9,0009 Mettmenstetten,4345,439,1262,780,1288,400,176,<1
10,0010 Obfelden,4795,528,1348,774,1324,610,211,0
11,0011 Ottenbach,2454,256,814,420,668,220,76,2
12,0012 Rifferswil,957,93,216,171,276,145,56,0
13,0013 Stallikon,3293,349,1124,630,828,270,92,1
14,0014 Wettswil am Albis,4546,480,1494,891,1196,385,100,0
15,0021 Adlikon,553,54,172,66,128,95,38,1
16,0022 Benken (ZH),810,91,254,150,196,85,34,3
17,0023 Berg am Irchel,584,55,214,105,140,45,25,0
18,0024 Buch am Irchel,896,68,264,123,236,130,75,0
19,0025 Dachsen,1942,172,546,288,620,260,56,1
20,0026 Dorf,630,43,170,111,180,90,36,<1
21,0027 Feuerthalen,3411,535,1038,654,808,290,86,<1
22,0028 Flaach,1307,118,408,222,384,145,30,<1
23,0029 Flurlingen,1401,190,430,225,372,110,74,0
24,0030 Andelfingen,2037,246,608,327,540,230,86,<1
25,0031 Henggart,2242,215,662,333,640,300,92,<1
26,0032 Humlikon,475,23,142,66,156,50,38,2
27,0033 Kleinandelfingen,1992,218,624,342,540,205,63,<1
28,0034 Laufen-Uhwiesen,1545,188,522,255,348,180,52,<1
29,0035 Marthalen,1946,222,602,357,464,220,81,<1
30,0036 Oberstammheim,1121,129,362,174,260,145,51,0
31,0037 Ossingen,1326,153,392,189,336,175,81,<1
32,0038 Rheinau,1320,199,390,228,316,125,62,0
33,0039 Thalheim an der Thur,894,90,276,138,200,120,70,0
34,0040 Trüllikon,985,111,350,168,160,140,56,0
35,0041 Truttikon,458,34,98,102,100,80,44,1
36,0042 Unterstammheim,863,79,248,120,180,140,96,<1
37,0043 Volken,305,36,88,33,68,55,25,1
38,0044 Waltalingen,671,55,184,141,180,80,31,0
39,0051 Bachenbülach,3983,470,1268,705,1024,400,116,0
40,0052 Bassersdorf,11172,1294,3336,2094,2932,935,581,1
41,0053 Bülach,17667,2540,5420,3228,4060,1570,849,<1
42,0054 Dietlikon,7102,1076,2352,1227,1540,525,382,1
43,0055 Eglisau,4666,469,1412,819,1224,450,292,<1
44,0056 Embrach,8925,994,2456,1650,2200,1030,595,1
45,0057 Freienstein-Teufen,2288,206,738,345,616,285,98,<1
46,0058 Glattfelden,4485,550,1290,756,1208,415,266,1
47,0059 Hochfelden,2006,175,564,372,600,180,115,<1
48,0060 Höri,2593,276,632,504,696,280,205,5
49,0061 Hüntwangen,999,93,312,153,288,115,38,<1
50,0062 Kloten,18198,3172,5676,3396,3668,1565,721,<1
51,0063 Lufingen,1827,161,496,354,588,175,53,<1
52,0064 Nürensdorf,5239,677,1864,870,1216,440,172,1
53,0065 Oberembrach,1008,118,370,150,212,115,43,2
54,0066 Opfikon,15944,2755,4512,2928,3100,1575,1074,1
55,0067 Rafz,4067,427,1206,723,1028,440,243,<1
56,0068 Rorbas,2477,295,632,483,616,305,146,<1
57,0069 Wallisellen,13951,2304,4496,2487,2820,1235,609,<1
58,0070 Wasterkingen,547,62,196,78,140,40,31,0
59,0071 Wil (ZH),1280,142,378,234,304,160,62,1
60,0072 Winkel,4068,532,1430,732,936,320,118,0
61,0081 Bachs,572,57,158,105,140,80,32,<1
62,0082 Boppelsen,1275,124,430,183,400,105,33,0
63,0083 Buchs (ZH),6023,800,1666,1140,1396,620,401,2
64,0084 Dällikon,3711,493,1078,732,972,275,161,<1
65,0085 Dänikon,1917,182,544,399,540,190,62,1
66,0086 Dielsdorf,5755,805,1810,1122,1348,430,240,<1
67,0087 Hüttikon,667,58,214,138,168,45,44,1
68,0088 Neerach,3011,351,1190,540,648,230,52,<1
69,0089 Niederglatt,4530,571,1358,798,1084,445,274,0
70,0090 Niederhasli,8677,1038,2518,1587,2316,915,303,<1
71,0091 Niederweningen,2729,247,744,492,800,325,121,1
72,0092 Oberglatt,6008,889,1570,1065,1312,740,432,0
73,0093 Oberweningen,1734,152,508,381,420,140,133,1
74,0094 Otelfingen,2734,252,738,597,812,225,110,1
75,0095 Regensberg,489,80,160,75,112,50,12,<1
76,0096 Regensdorf,16800,2340,5028,3132,3780,1705,815,<1
77,0097 Rümlang,6908,1018,2026,1266,1560,630,408,2
78,0098 Schleinikon,716,75,200,114,220,95,12,0
79,0099 Schöfflisdorf,1364,153,436,273,328,130,44,1
80,0100 Stadel,2001,221,590,387,520,165,118,<1
81,0101 Steinmaur,3252,444,1180,525,712,245,146,1
82,0102 Weiach,1068,117,320,192,248,100,91,2
83,0111 Bäretswil,4889,487,1558,852,1124,580,288,0
84,0112 Bubikon,6787,642,2078,1113,1848,715,391,0
85,0113 Dürnten,7079,778,1982,1050,1836,910,523,<1
86,0114 Fischenthal,2296,220,612,378,572,340,174,2
87,0115 Gossau (ZH),9635,1060,3050,1692,2296,1040,497,<1
88,0116 Grüningen,3194,376,990,543,856,305,124,1
89,0117 Hinwil,10564,1419,3282,1851,2288,1075,649,<1
90,0118 Rüti (ZH),11708,1762,3324,2001,2676,1160,785,2
91,0119 Seegräben,1298,118,368,297,272,190,53,2
92,0120 Wald (ZH),9219,1312,2584,1629,2096,1025,573,<1
93,0121 Wetzikon (ZH),22897,3361,6958,3972,5192,2110,1304,1
94,0131 Adliswil,17822,3070,5442,3321,3768,1385,836,2
95,0132 Hirzel,2122,204,592,345,608,275,98,1
96,0133 Horgen,18898,2797,5828,3402,4356,1695,820,<1
97,0134 Hütten,878,93,200,108,264,140,73,2
98,0135 Kilchberg (ZH),7609,1505,2284,1359,1588,690,183,<1
99,0136 Langnau am Albis,7178,1058,2220,1377,1740,590,193,<1
100,0137 Oberrieden,4901,788,1596,798,1244,385,90,1
101,0138 Richterswil,12656,1689,3834,2400,3184,1130,419,<1
102,0139 Rüschlikon,5322,793,1614,945,1272,475,223,1
103,0140 Schönenberg (ZH),1871,174,604,348,444,225,76,0
104,0141 Thalwil,17174,3080,5494,3045,3824,1265,466,<1
105,0142 Wädenswil,20660,3201,6420,3684,4468,1955,932,<1
106,0151 Erlenbach (ZH),5271,730,1496,942,1344,560,199,1
107,0152 Herrliberg,6035,807,1816,1023,1544,645,200,<1
108,0153 Hombrechtikon,7958,1022,2312,1437,1996,840,351,1
109,0154 Küsnacht (ZH),13239,2268,4146,2241,2920,1185,479,1
110,0155 Männedorf,10301,1504,3168,1695,2804,895,235,<1
111,0156 Meilen,12544,1905,3980,2244,2960,975,480,1
112,0157 Oetwil am See,4502,638,1240,783,1140,470,231,<1
113,0158 Stäfa,13644,2095,4540,2259,3040,1225,485,<1
114,0159 Uetikon am See,5848,701,1756,1080,1580,535,196,<1
115,0160 Zumikon,5119,687,1508,831,1248,570,275,<1
