,Unnamed: 0,Unnamed: 1,ohne Migrations-hintergrund,mit Migrations-hintergrund 4),Gemischt mit/ohne Migrationshintergrund 4)
2,Total,15.9376,15.316,16.692,16.4653
3,  Einpersonenhaushalte,16.0495,15.5237,17.0461,*
4,  Paare ohne Kinder,15.9627,15.3316,16.7764,16.6929
5,  Paare mit Kind(ern),15.8668,14.9326,16.4753,16.1055
6,  Einelternhaushalte,15.1575,14.6017,15.9239,*
7,  Nichtfamilienhaushalte mit mehreren Personen,17.1388,16.5298,17.7863,18.3138
8,  Mehrfamilienhaushalte,15.6351,14.9721,15.8737,15.5465
10,Genferseeregion,,,,
11,  Einpersonenhaushalte,17.1948,16.1375,18.5552,*
12,  Paare ohne Kinder,16.7386,15.3578,17.8644,17.4442
13,  Paare mit Kind(ern),17.3432,16.1586,17.8702,17.4895
14,  Einelternhaushalte,16.5522,15.8691,17.3287,*
15,  Nichtfamilienhaushalte mit mehreren Personen,18.0088,16.51,18.7579,19.826
16,  Mehrfamilienhaushalte,16.7829,16.3412,17.054,15.7955
18,Espace Mittelland,,,,
19,  Einpersonenhaushalte,14.138,14.0405,14.3933,*
20,  Paare ohne Kinder,14.2575,14.1038,14.5685,14.6143
21,  Paare mit Kind(ern),14.0862,13.6435,14.4723,14.4021
22,  Einelternhaushalte,13.5861,13.4159,13.8618,*
23,  Nichtfamilienhaushalte mit mehreren Personen,14.9412,14.7282,15.4358,15.4573
24,  Mehrfamilienhaushalte,14.2786,13.9547,14.5412,13.6379
26,Nordwestschweiz,,,,
27,  Einpersonenhaushalte,16.0423,15.5969,16.8577,*
28,  Paare ohne Kinder,15.8801,15.4495,16.3992,16.4396
29,  Paare mit Kind(ern),15.6995,14.7231,16.3177,15.4911
30,  Einelternhaushalte,15.0685,14.3848,15.9531,*
31,  Nichtfamilienhaushalte mit mehreren Personen,16.7601,16.6828,16.7593,17.1045
32,  Mehrfamilienhaushalte,15.309,13.7624,15.7511,15.282
34,Zürich,,,,
35,  Einpersonenhaushalte,18.8765,18.3882,19.7569,*
36,  Paare ohne Kinder,18.6864,17.9951,19.3189,19.72
37,  Paare mit Kind(ern),17.97,17.1669,18.5415,17.7517
38,  Einelternhaushalte,16.9652,16.4483,17.6374,*
39,  Nichtfamilienhaushalte mit mehreren Personen,20.3366,20.0232,20.6004,20.7113
40,  Mehrfamilienhaushalte,17.5382,17.3167,17.4698,18.2917
42,Ostschweiz,,,,
43,  Einpersonenhaushalte,14.0313,13.8075,14.5246,*
44,  Paare ohne Kinder,13.9382,13.7077,14.2213,14.3981
45,  Paare mit Kind(ern),13.4779,12.9796,13.8034,13.7829
46,  Einelternhaushalte,12.9648,12.6487,13.381,*
47,  Nichtfamilienhaushalte mit mehreren Personen,14.4553,14.6335,14.3448,13.3493
48,  Mehrfamilienhaushalte,13.6767,13.7244,13.7293,13.2719
50,Zentralschweiz,,,,
51,  Einpersonenhaushalte,16.3919,15.8876,17.9151,*
52,  Paare ohne Kinder,15.9503,15.4837,16.9431,16.8033
53,  Paare mit Kind(ern),15.7329,14.9259,16.4023,16.8212
54,  Einelternhaushalte,15.0789,14.6926,15.9946,*
55,  Nichtfamilienhaushalte mit mehreren Personen,16.0564,15.6362,16.0778,18.3857
56,  Mehrfamilienhaushalte,15.487,14.3747,16.1834,14.6123
58,Tessin,,,,
59,  Einpersonenhaushalte,13.1103,12.7525,13.408,*
60,  Paare ohne Kinder,13.3727,13.6164,13.1753,13.4662
61,  Paare mit Kind(ern),13.9303,13.2349,14.2223,14.2048
62,  Einelternhaushalte,13.3548,12.8969,13.7893,*
63,  Nichtfamilienhaushalte mit mehreren Personen,14.5653,10.4863,15.0013,18.6886
64,  Mehrfamilienhaushalte,12.8431,14.2405,11.8605,14.9273
