,Unnamed: 0,Unnamed: 1,Unnamed: 2,ohne Migrations-hintergrund,Unnamed: 4,mit Migrations-hintergrund 4),Unnamed: 6,Gemischt mit/ohne Migrationshintergrund 4),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,±  5),,±  5),,±  5),,±  5),,,,,,
1,,,,,,,,,,,,,,,
2,Total,15.8,0,15.1,0.1,16.7,0.1,16.5,0.1,,,,,,
3,  Einpersonenhaushalte,16.0,0.1,15.3,0.1,17.2,0.1,*,*,,,,,,
4,  Paare ohne Kinder,15.8,0.1,15,0.1,16.8,0.1,16.7,0.2,,,,,,
5,  Paare mit Kind(ern),15.7,0.1,14.8,0.1,16.3,0.1,16,0.2,,,,,,
6,  Einelternhaushalte,14.9,0.1,14.2,0.2,15.6,0.2,*,*,,,,,,
7,  Nichtfamilienhaushalte mit mehreren Personen,17.1,0.2,16.3,0.3,17.9,0.4,18.1,0.6,,,,,,
8,  Mehrfamilienhaushalte,14.8,0.5,13.8,1.3,14.8,0.5,15.5,1.1,,,,,,
9,,,,,,,,,,,,,,,
10,Genferseeregion,,,,,,,,,,,,,,
11,  Einpersonenhaushalte,17.1,0.2,15.7,0.2,18.7,0.4,*,*,,,,,,
12,  Paare ohne Kinder,16.7,0.2,15,0.2,18.0,0.3,17.6,0.5,,,,,,
13,  Paare mit Kind(ern),17.2,0.2,15.9,0.2,17.8,0.2,17.1,0.4,,,,,,
14,  Einelternhaushalte,16.1,0.3,15.2,0.4,16.9,0.4,*,*,,,,,,
15,  Nichtfamilienhaushalte mit mehreren Personen,18.1,0.7,16.5,1,18.9,1,18.3,1.7,,,,,,
16,  Mehrfamilienhaushalte,16.8,1,15.1,2.3,16.9,1.3,18.7,1.9,,,,,,
17,,,,,,,,,,,,,,,
18,Espace Mittelland,,,,,,,,,,,,,,
19,  Einpersonenhaushalte,14.0,0.1,13.7,0.2,14.8,0.3,*,*,,,,,,
20,  Paare ohne Kinder,13.9,0.1,13.7,0.2,14.0,0.2,14.7,0.5,,,,,,
21,  Paare mit Kind(ern),13.7,0.1,13.4,0.2,14.0,0.2,13.7,0.5,,,,,,
22,  Einelternhaushalte,12.9,0.3,12.7,0.3,13.2,0.5,*,*,,,,,,
23,  Nichtfamilienhaushalte mit mehreren Personen,15.0,0.5,14.9,0.6,14.7,1.1,16.6,1.2,,,,,,
24,  Mehrfamilienhaushalte,12.3,1.5,11.4,2.7,12.4,1.8,12.7,2,,,,,,
25,,,,,,,,,,,,,,,
26,Nordwestschweiz,,,,,,,,,,,,,,
27,  Einpersonenhaushalte,15.9,0.2,15.5,0.3,16.7,0.4,*,*,,,,,,
28,  Paare ohne Kinder,15.8,0.2,15.2,0.2,16.4,0.3,16.1,0.5,,,,,,
29,  Paare mit Kind(ern),15.6,0.2,14.9,0.3,15.9,0.2,16,0.5,,,,,,
30,  Einelternhaushalte,14.9,0.4,14.2,0.4,15.9,0.6,*,*,,,,,,
31,  Nichtfamilienhaushalte mit mehreren Personen,16.0,0.6,15.3,0.8,16.9,1,16.5,1.1,,,,,,
32,  Mehrfamilienhaushalte,14.4,0.8,15,3.6,14.4,0.9,13.6,2.5,,,,,,
33,,,,,,,,,,,,,,,
34,Zürich,,,,,,,,,,,,,,
35,  Einpersonenhaushalte,19.3,0.2,18.4,0.2,20.7,0.3,*,*,,,,,,
36,  Paare ohne Kinder,18.7,0.2,17.7,0.2,19.7,0.3,19.4,0.5,,,,,,
37,  Paare mit Kind(ern),17.9,0.2,17,0.2,18.4,0.2,18.2,0.5,,,,,,
38,  Einelternhaushalte,16.9,0.3,16.4,0.5,17.3,0.5,*,*,,,,,,
39,  Nichtfamilienhaushalte mit mehreren Personen,19.9,0.5,19,0.6,20.5,0.8,20.2,1.1,,,,,,
40,  Mehrfamilienhaushalte,16.2,0.7,14.3,2.8,16.2,0.8,17.1,2.7,,,,,,
41,,,,,,,,,,,,,,,
42,Ostschweiz,,,,,,,,,,,,,,
43,  Einpersonenhaushalte,13.9,0.2,13.7,0.2,14.2,0.4,*,*,,,,,,
44,  Paare ohne Kinder,13.6,0.2,13.3,0.2,13.9,0.3,14.4,0.5,,,,,,
45,  Paare mit Kind(ern),13.1,0.2,12.6,0.3,13.5,0.3,13,0.5,,,,,,
46,  Einelternhaushalte,13.2,0.3,13,0.4,13.5,0.5,*,*,,,,,,
47,  Nichtfamilienhaushalte mit mehreren Personen,14.6,0.5,15,0.6,14.1,1,14.1,1.4,,,,,,
48,  Mehrfamilienhaushalte,12.5,0.6,12.1,2,12.4,0.7,14.5,2.3,,,,,,
49,,,,,,,,,,,,,,,
50,Zentralschweiz,,,,,,,,,,,,,,
51,  Einpersonenhaushalte,16.2,0.2,15.6,0.2,17.7,0.5,*,*,,,,,,
52,  Paare ohne Kinder,15.9,0.2,15.1,0.2,17.5,0.4,17.2,0.7,,,,,,
53,  Paare mit Kind(ern),15.7,0.2,14.7,0.2,16.6,0.3,16.4,0.6,,,,,,
54,  Einelternhaushalte,15.1,0.4,14.4,0.5,16.4,0.9,*,*,,,,,,
55,  Nichtfamilienhaushalte mit mehreren Personen,16.7,0.5,16.1,0.6,18.3,1.1,16.7,2.1,,,,,,
56,  Mehrfamilienhaushalte,14.7,0.9,16.6,5.3,14.6,0.8,12.5,2,,,,,,
57,,,,,,,,,,,,,,,
58,Tessin,,,,,,,,,,,,,,
59,  Einpersonenhaushalte,13.2,0.3,13,0.4,13.3,0.4,*,*,,,,,,
60,  Paare ohne Kinder,13.4,0.3,13.4,0.4,13.4,0.4,13.3,0.7,,,,,,
61,  Paare mit Kind(ern),13.9,0.2,13,0.4,14.2,0.3,14,0.7,,,,,,
62,  Einelternhaushalte,13.4,0.5,13.4,0.7,13.2,0.7,*,*,,,,,,
63,  Nichtfamilienhaushalte mit mehreren Personen,13.6,1.3,12.8,2.8,13.6,1.5,15.6,4.7,,,,,,
64,  Mehrfamilienhaushalte,13.8,1.5,X,X,15.2,1.9,11.3,1.8,,,,,,
