,Region,average_rent,<25,25-64,65+,<25 and 25-64,<25 and 65+,25-64 and 65+,"<25, 25-64, and 65+"
0,,,,,,,,,
1,Suisse,1306.0,1088.0,1265.0,1111.0,1512.0,1348,1321.0,1552.0
2,,,,,,,,,
3,Genferseeregion,1310.0,1041.0,1226.0,1063.0,1576.0,1491,1305.0,1668.0
4,Espace Mittelland,1128.0,971.0,1093.0,975.0,1304.0,***** 1038,1152.0,1364.0
5,Nordwestschweiz,1313.0,1150.0,1275.0,1162.0,1489.0,X,1327.0,1421.0
6,Zürich,1521.0,1250.0,1491.0,1287.0,1736.0,***** 1323,1494.0,1786.0
7,Ostschweiz,1181.0,1054.0,1142.0,1054.0,1339.0,***** 1270,1232.0,1287.0
8,Zentralschweiz,1432.0,1183.0,1408.0,1204.0,1633.0,***** 1468,1455.0,1524.0
9,Tessin,1134.0,994.0,1059.0,1033.0,1342.0,X,1230.0,1317.0
