,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5284,4220.0,6561.0,4825.0,3859.0,6246,5547.0,4595.0,6771.0
2,  ,,,,,,,,,,
3, Swiss,,5547,4445.0,6912.0,5135.0,4077.0,6479,5934.0,4875.0,7263.0
4,  ,,,,,,,,,,
5, Foreigners,,5026,4020.0,6181.0,4416.0,3663.0,5903,5295.0,4403.0,6302.0
6,,,,,,,,,,,
7, Short-term permit (L),,3993,3238.0,5043.0,3554.0,3126.0,4303,4383.0,3333.0,5198.0
8, Temporary residence permit (B) ,,4353,3611.0,5547.0,3873.0,3405.0,5250,4695.0,3910.0,5633.0
9, Permanent residence permit (C) ,,5070,4130.0,6104.0,4344.0,3712.0,5627,5412.0,4602.0,6276.0
10, Cross-border worker (G) ,,5619,4617.0,6771.0,5278.0,4223.0,6624,5758.0,4845.0,6841.0
11, Other,,4780,3714.0,6320.0,4729.0,3685.0,6249,4872.0,3724.0,6396.0
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
