,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5392,4460,6513,4815,4121,6055,5683,4806,6760
2,  ,,,,,,,,,,
3, Swiss,,5483,4545,6595,4974,4219,6164,5782,4894,6844
4,  ,,,,,,,,,,
5, Foreigners,,5133,4248,6271,4418,3813,5517,5442,4625,6500
6,,,,,,,,,,,
7, Short-term permit (L),,4708,3787,5823,[4 072] ,[3 343] ,[5 655] ,4934,4089,5823
8, Temporary residence permit (B) ,,5277,4263,6810,4588,3852,6281,5523,4569,6911
9, Permanent residence permit (C) ,,5050,4279,5992,4326,3803,5046,5403,4713,6223
10, Cross-border worker (G) ,,[6 577] ,[4 998] ,[7 425] ,[5 505] ,[4 274] ,[6 340] ,6669,5210,7529
11, Other,,[5 061] ,[3 986],[7 007] ,4690,3988,5901,[5 373] ,[3 986] ,[7 561] 
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
