,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5683,4582.0,7075.0,5230.0,4227.0,6729.0,5937.0,4931.0,7326
2,  ,,,,,,,,,,
3, Swiss,,5931,4776.0,7365.0,5496.0,4414.0,6916.0,6242.0,5169.0,7739
4,  ,,,,,,,,,,
5, Foreigners,,5208,4235.0,6405.0,4587.0,3830.0,6068.0,5476.0,4603.0,6537
6,,,,,,,,,,,
7, Short-term permit (L),,4453,3515.0,5626.0,3714.0,3221.0,4762.0,4833.0,3808.0,5750
8, Temporary residence permit (B) ,,5055,4059.0,6481.0,4544.0,3724.0,6385.0,5266.0,4333.0,6540
9, Permanent residence permit (C) ,,5184,4315.0,6220.0,4504.0,3890.0,5619.0,5532.0,4747.0,6420
10, Cross-border worker (G) ,,5501,4435.0,6821.0,5015.0,3922.0,6673.0,5669.0,4732.0,6882
11, Other,,5288,4240.0,6706.0,4967.0,4093.0,6551.0,5460.0,4350.0,6777
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,,,,4 = Lowest management level  
17,,,3 = Lower management   ,,,,,,,,No management function   
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
