,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5367,4525.0,6400.0,4791.0,4151.0,5886,5656.0,4856.0,6612.0
2,  ,,,,,,,,,,
3, Swiss,,5519,4631.0,6584.0,4951.0,4284.0,6027,5881.0,4996.0,6896.0
4,  ,,,,,,,,,,
5, Foreigners,,5194,4372.0,6117.0,4462.0,3855.0,5476,5415.0,4715.0,6248.0
6,,,,,,,,,,,
7, Short-term permit (L),,4955,3876.0,5523.0,3629.0,3209.0,4246,5097.0,4165.0,5635.0
8, Temporary residence permit (B) ,,4865,4165.0,5869.0,4383.0,3653.0,5804,4983.0,4410.0,5904.0
9, Permanent residence permit (C) ,,5250,4434.0,6120.0,4451.0,3921.0,5275,5545.0,4850.0,6289.0
10, Cross-border worker (G) ,,5594,4721.0,6656.0,4911.0,4172.0,6049,5727.0,4996.0,6778.0
11, Other,,5313,4703.0,5848.0,4436.0,3511.0,4829,5328.0,4905.0,5858.0
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
