,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5856,4819.0,7156.0,5417.0,4439.0,6768,6073.0,5120.0,7385.0
2,  ,,,,,,,,,,
3, Swiss,,5972,4914.0,7250.0,5498.0,4555.0,6695,6320.0,5279.0,7651.0
4,  ,,,,,,,,,,
5, Foreigners,,5706,4700.0,7017.0,5232.0,4250.0,6965,5834.0,4959.0,7038.0
6,,,,,,,,,,,
7, Short-term permit (L),,5283,4393.0,6110.0,4185.0,3500.0,6162,5410.0,4761.0,6110.0
8, Temporary residence permit (B) ,,5318,4420.0,6908.0,5224.0,4063.0,7209,5346.0,4591.0,6726.0
9, Permanent residence permit (C) ,,5480,4603.0,6596.0,4840.0,4134.0,6208,5743.0,4952.0,6714.0
10, Cross-border worker (G) ,,6190,5237.0,7720.0,6203.0,4838.0,7846,6190.0,5302.0,7647.0
11, Other,,4970,3734.0,6196.0,4394.0,3500.0,6186,5123.0,3923.0,6379.0
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
