,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,4722,3822.0,5758.0,4280,3514,5392,4982,4109,5942
2,  ,,,,,,,,,,
3, Swiss,,5306,4388.0,6233.0,4978,4166,5974,5521,4646,6392
4,  ,,,,,,,,,,
5, Foreigners,,4470,3648.0,5488.0,3857,3350,4811,4773,3953,5710
6,,,,,,,,,,,
7, Short-term permit (L),,4229,3513.0,5394.0,*,*,*,[4 585] ,[3 409] ,[5 394] 
8, Temporary residence permit (B) ,,4585,3870.0,5621.0,4092,3600,5256,4785,3964,5908
9, Permanent residence permit (C) ,,4866,4125.0,5899.0,4288,3667,5138,5293,4495,6148
10, Cross-border worker (G) ,,4330,3534.0,5361.0,3671,3250,4612,4655,3854,5577
11, Other,,4305,3565.0,4978.0,3801,3267,4469,[4 323] ,[3 918] ,[5 095] 
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
